ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM1_MT_Grenfell_2.1930,2810.76465,42.6835626,2789.48,353.53,47.0,7.000000000000001,4,12.8545837,0.0,0.0,0.0,0.0,0.0,73.04032897949219,-19.256637573242188,272.74237060546875,-31.283654352858434,145.28945558224055,272.74281761143357
AM1_MT_Grenfell_2.0485,2326.8064,58.0978215,2240.28,113.0,59.0,1.0,4,10.3579102,0.0,0.0,0.0,0.0,0.0,31.511837005615234,-38.154544830322266,273.1227722167969,-31.28382479173463,145.28901947123887,273.1229645619169
AM1_MT_Grenfell_2.0570,2235.02832,57.8220367,2270.55,103.25,60.0,2.0,4,10.9436646,0.0,0.0,0.0,0.0,0.0,105.10401916503906,-53.55389404296875,272.58709716796875,-31.28396367157794,145.2897923028044,272.5881880680099
AM1_MT_Grenfell_2.1952,2071.27173,19.7698578,2079.96,96.55,40.0,23.0,4,10.7124023,0.0,0.0,0.0,0.0,0.0,72.17033386230469,11.927267074584961,272.8551025390625,-31.283373110536246,145.28944644372157,272.85552166122943
AM1_MT_Grenfell_2.0607,1959.87244,6.79879561,2016.63,450.45,32.0,23.0,4,13.399353,0.0,0.0,0.0,0.0,0.0,43.217872619628906,-62.58761978149414,273.0121765136719,-31.28404514912484,145.28914240348237,273.01263109594584
AM1_MT_Grenfell_2.0324,1630.21326,46.3435024,1487.28,237.36,47.0,1.0,4,10.7175293,0.0,0.0,0.0,0.0,0.0,80.50958251953125,46.198326110839844,273.2079162597656,-31.283064025100966,145.28953401529927,273.2085918812081
AM1_MT_Grenfell_2.0207,1529.60425,25.791537799999997,1378.65,201.71,11.0,10.0,4,12.4911804,0.0,0.0,0.0,0.0,0.0,97.91647338867188,33.01666259765625,272.9508361816406,-31.283182906955226,145.28971681399278,272.95167286880314
AM1_MT_Grenfell_2.0520,1508.40869,23.3290002,1238.94,576.99,32.0,23.0,4,6.56671143,0.0,0.0,0.0,0.0,0.0,7.644218921661377,24.073278427124023,273.9569396972656,-31.283263569954315,145.28876882445752,273.9569898834452
AM1_MT_Grenfell_2.0184,1364.776,21.9030008,1360.71,94.79,28.000000000000004,14.000000000000002,4,12.2455444,0.0,0.0,0.0,0.0,0.0,76.71966552734375,-74.45741271972656,272.89764404296875,-31.284152199059303,145.28949422501705,272.898541348055
AM1_MT_Grenfell_2.0375,1262.10291,49.8522341,1196.84,90.34,42.0,10.0,4,9.11779785,0.0,0.0,0.0,0.0,0.0,10.187397956848145,-65.17205047607422,273.8131408691406,-31.284068458349555,145.28879553245534,273.81348328478634
