ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM3_Cubba_Verification_01.0423,5898.11963,53.799969000000004,5811.39,137.15,55.00000000000001,1.0,4,13.9789886,0.0,0.0,0.0,0.0,0.0,-44.11621856689453,-36.07972717285156,231.1456756591797,-31.56279222848061,145.19680352206302,231.14593053236604
AM3_Cubba_Verification_01.0421,5085.66211,22.1036926,4919.54,257.92,38.0,11.0,4,14.1192322,0.0,0.0,0.0,0.0,0.0,0.20513425767421722,-36.21151351928711,231.89645385742188,-31.562793417801227,145.197270346592,231.89655706007034
AM3_Cubba_Verification_01.0422,4977.19434,63.848572999999995,4810.08,604.28,47.0,14.000000000000002,4,13.5103149,0.0,0.0,0.0,0.0,0.0,-2.4534945487976074,-0.7707719802856445,231.81918334960938,-31.562473795608238,145.19724234408216,231.8191838664934
AM3_Cubba_Verification_01.0349,3417.15283,52.7090549,3391.36,39.69,54.0,1.0,4,14.5318909,0.0,0.0,0.0,0.0,0.0,-58.49795150756836,34.74501419067383,231.71401977539062,-31.562153495120757,145.1966520475085,231.71438278909773
AM3_Cubba_Verification_01.0417,3147.30933,21.587032100000002,3026.89,184.79,22.0,0.0,4,13.3207245,0.0,0.0,0.0,0.0,0.0,-28.477598190307617,37.024131774902344,231.99002075195312,-31.56213294205286,145.196968241468,231.9901921497658
AM3_Cubba_Verification_01.0416,2684.87207,46.6381997,2702.79,69.8,47.0,1.0,4,13.6011353,0.0,0.0,0.0,0.0,0.0,18.499828338623047,-0.014794424176216125,231.99815368652344,-31.56246697768143,145.1974630388339,231.99818048998713
AM3_Cubba_Verification_01.0388,2478.42188,48.346990299999995,2446.24,136.19,48.0,0.0,4,13.643219,0.0,0.0,0.0,0.0,0.0,-41.1088752746582,-71.06431579589844,231.4376678466797,-31.56310773696117,145.19683519613892,231.43819765001535
AM3_Cubba_Verification_01.0420,2047.58252,28.002050499999996,2047.26,40.39,31.0,3.0,4,8.90290833,0.0,0.0,0.0,0.0,0.0,6.071858882904053,25.749406814575195,232.17845153808594,-31.562234623464725,145.19733213878638,232.17850660625845
AM3_Cubba_Verification_01.0173,1918.6886,41.1373436,1925.84,26.66,42.0,3.0,4,14.4261475,0.0,0.0,0.0,0.0,0.0,-1.7919646501541138,18.71165657043457,231.93873596191406,-31.562298093397146,145.19724931180463,231.9387637693435
AM3_Cubba_Verification_01.0389,1903.86633,15.5079991,1920.93,52.22,20.0,6.0,4,12.6286011,0.0,0.0,0.0,0.0,0.0,-64.79520416259766,-23.776161193847656,230.37904357910156,-31.56268126785578,145.1965857167633,230.37941688019782
AM3_Cubba_Verification_01.0411,1860.86414,51.959753,1953.98,244.07,52.0,1.0,4,13.1139374,0.0,0.0,0.0,0.0,0.0,46.431976318359375,50.312232971191406,232.4821014404297,-31.56201310280646,145.19775723694386,232.48246950749308
AM3_Cubba_Verification_01.0378,1691.95288,48.610869099999995,1679.39,54.6,49.0,0.0,4,12.5518341,0.0,0.0,0.0,0.0,0.0,47.14337158203125,57.34578323364258,232.80084228515625,-31.561949670757073,145.19776472944835,232.80127515643835
AM3_Cubba_Verification_01.0142,1671.26135,19.438684000000002,1601.14,389.7,28.999999999999996,15.0,4,11.5105896,0.0,0.0,0.0,0.0,0.0,60.55341720581055,43.48796844482422,232.67926025390625,-31.562074646766376,145.19790597329964,232.67969626374543
AM3_Cubba_Verification_01.0391,1651.61169,22.2577661,1399.9,361.57,24.0,3.0,4,8.60575867,0.0,0.0,0.0,0.0,0.0,30.15106964111328,18.571626663208008,232.42176818847656,-31.56229935587607,145.19758575709906,232.4218665305525
AM3_Cubba_Verification_01.0103,1648.1106,32.665509,1627.6,176.3,30.0,6.0,4,13.0691223,0.0,0.0,0.0,0.0,0.0,59.41786575317383,-51.509376525878906,232.59536743164062,-31.562931379931687,145.19789401867408,232.59585274290293
AM3_Cubba_Verification_01.0410,1445.26135,32.0297599,1361.92,147.6,42.0,7.000000000000001,4,12.4276886,0.0,0.0,0.0,0.0,0.0,-27.80661392211914,-24.242422103881836,231.24078369140625,-31.562685474285473,145.1969753069478,231.24089050106704
AM3_Cubba_Verification_01.0418,1441.58398,46.284714300000005,1252.8,347.76,47.0,24.0,4,11.0336609,0.0,0.0,0.0,0.0,0.0,11.847963333129883,3.6657192707061768,231.92962646484375,-31.562433785069715,145.19739297679243,231.92963851615787
AM3_Cubba_Verification_01.0030,1376.50378,42.1746463,1370.94,22.43,40.0,5.0,4,12.5195923,0.0,0.0,0.0,0.0,0.0,41.213382720947266,42.333072662353516,232.4427947998047,-31.56208506302888,145.19770227174777,232.44306886661798
AM3_Cubba_Verification_01.0379,1240.13831,35.7265949,1095.57,193.54,28.000000000000004,10.0,4,12.2869263,0.0,0.0,0.0,0.0,0.0,-13.862480163574219,52.55043411254883,232.0928497314453,-31.561992918420994,145.19712217757407,232.09308211877942
AM3_Cubba_Verification_01.0075,1216.39392,24.4722247,1252.16,314.43,22.0,4.0,4,10.6351929,0.0,0.0,0.0,0.0,0.0,3.2834832668304443,48.64582443237305,232.24960327148438,-31.56202813222016,145.1973027697015,232.24979035463184
AM3_Cubba_Verification_01.0377,1207.98804,20.4645574,1205.55,127.8,33.0,10.0,4,13.9215088,0.0,0.0,0.0,0.0,0.0,-33.77895736694336,-12.231062889099121,231.66053771972656,-31.562577149710773,145.19691240241622,231.6606388548389
AM3_Cubba_Verification_01.0408,1203.62854,45.144009600000004,1200.93,26.97,45.0,1.0,4,12.0040588,0.0,0.0,0.0,0.0,0.0,-36.142005920410156,22.440690994262695,231.59580993652344,-31.562264462536703,145.1968875144058,231.59595187194645
