fid,ID,Volume..L.,DBH..cm.,vol_opt_mean,Volume.Standard.Deviation..L.,dbhqsm_mean..cm.,DBH.Standard.Deviation..cm.,Number.of.Models,Height..m.,Surface.Area..m.2.,PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing.Time,X,Y,Z,Lat,Long,Elevation,plot_id,tree_id
1,AM1_MT_Grenfell_1.0309,3208.11157,47.159034,3190.5,"37.49",47,"1",4,14.8596802,false,false,false,false,false,-13.6359195709229,27.4807910919189,261.898345947266,-31.3024119349073,145.307782974525,261.898419944569,AM1_MT_Grenfell_1,309
2,AM1_MT_Grenfell_1.0986,2905.12305,30.2436322,2909.69,"156.81",31,"1",4,10.3665771,false,false,false,false,false,14.5668048858643,33.3622360229492,263.589202880859,-31.3023588912814,145.308079204547,263.589307098649,AM1_MT_Grenfell_1,986
3,AM1_MT_Grenfell_1.0249,2740.05078,50.197947,2753.05,"36.44",50,"0",4,14.6005554,false,false,false,false,false,-32.2576026916504,19.4218235015869,263.838165283203,-31.3024846169733,145.307587379649,263.838276464492,AM1_MT_Grenfell_1,249
4,AM1_MT_Grenfell_1.0984,2544.54517,32.6074928,2489.15,"122.19",31,"1",4,9.76495361,false,false,false,false,false,2.86166572570801,63.2971382141113,262.973663330078,-31.3020889138762,145.307956258461,262.973979299888,AM1_MT_Grenfell_1,984
5,AM1_MT_Grenfell_1.0985,2482.20068,24.4995803,2726.51,"587.72",24,"11",4,10.7495422,false,false,false,false,false,42.8584251403809,15.9045276641846,265.192779541016,-31.3025163385106,145.308376368812,265.192943308502,AM1_MT_Grenfell_1,985
6,AM1_MT_Grenfell_1.0975,1926.01196,26.6166985,1919.78,"38.05",27,"0",4,11.855011,false,false,false,false,false,-4.50727272033691,-66.4348678588867,265.844055175781,-31.3032589429952,145.307878857789,265.844404132105,AM1_MT_Grenfell_1,975
7,AM1_MT_Grenfell_1.0316,1571.38855,37.7938896,1574.58,"7.87",39,"1",4,11.7252808,false,false,false,false,false,3.83103656768799,-53.9909744262695,266.13037109375,-31.3031467138213,145.307966440738,266.130601666868,AM1_MT_Grenfell_1,316
8,AM1_MT_Grenfell_1.0162,1385.62048,21.1017922,1382.65,"31.75",21,"0",4,10.1932068,false,false,false,false,false,27.4820175170898,21.9981365203857,264.531982421875,-31.3024613818208,145.308214860938,264.53207965754,AM1_MT_Grenfell_1,162
9,AM1_MT_Grenfell_1.0747,1089.16565,19.4079831,1110.88,"40.66",19,"0",4,11.5375061,false,false,false,false,false,-2.44212794303894,8.65341281890869,264.82763671875,-31.3025817357584,145.307900549605,264.827643077821,AM1_MT_Grenfell_1,747
10,AM1_MT_Grenfell_1.0963,1086.01709,23.4101862,1086.49,"16.8",23,"0",4,10.4692688,false,false,false,false,false,47.7894325256348,-10.0264177322388,267.394165039062,-31.3027502046928,145.308428163241,267.394351816736,AM1_MT_Grenfell_1,963
