"ID","Volume..L.","DBH..cm.","vol_opt_mean","Volume.Standard.Deviation..L.","dbhqsm_mean..cm.","DBH.Standard.Deviation..cm.","Number.of.Models","Height..m.","Surface.Area..m.2.","PatchDiam1","PatchDiam2Min","PatchDiam2Max","Processing.Time","X","Y","Z","Lat","Long","Elevation","plot_id","tree_id"
"AM1_MT_Grenfell_1.0152",3468.79004,25.3198653,3078.99,773.18,39,13,4,13.3304749,0,0,0,0,0,-73.4424438476562,9.16933441162109,262.242065429688,-31.3025770804088,145.307154789386,262.242494481616,"AM1_MT_Grenfell_1","0152"
"AM1_MT_Grenfell_1.0309",3208.11157,47.159034,3190.5,37.49,47,1,4,14.8596802,0,0,0,0,0,-13.6359195709229,27.4807910919189,261.898345947266,-31.3024119349073,145.307782974525,261.898419944569,"AM1_MT_Grenfell_1","0309"
"AM1_MT_Grenfell_1.0986",2905.12305,30.2436322,2909.69,156.81,31,1,4,10.3665771,0,0,0,0,0,14.5668048858643,33.3622360229492,263.589202880859,-31.3023588912814,145.308079204547,263.589307098649,"AM1_MT_Grenfell_1","0986"
"AM1_MT_Grenfell_1.0249",2740.05078,50.197947,2753.05,36.44,50,0,4,14.6005554,0,0,0,0,0,-32.2576026916504,19.4218235015869,263.838165283203,-31.3024846169733,145.307587379649,263.838276464492,"AM1_MT_Grenfell_1","0249"
"AM1_MT_Grenfell_1.0170",2666.29565,39.7756726,2813.38,216.12,49,8,4,15.6912537,0,0,0,0,0,-25.6862182617188,58.6350936889649,262.860137939453,-31.3021309597233,145.307656403843,262.860460203141,"AM1_MT_Grenfell_1","0170"
"AM1_MT_Grenfell_1.0984",2544.54517,32.6074928,2489.15,122.19,31,1,4,9.76495361,0,0,0,0,0,2.86166572570801,63.2971382141113,262.973663330078,-31.3020889138762,145.307956258461,262.973979299888,"AM1_MT_Grenfell_1","0984"
"AM1_MT_Grenfell_1.0985",2482.20068,24.4995803,2726.51,587.72,24,11,4,10.7495422,0,0,0,0,0,42.8584251403809,15.9045276641846,265.192779541016,-31.3025163385106,145.308376368812,265.192943308502,"AM1_MT_Grenfell_1","0985"
"AM1_MT_Grenfell_1.0153",2013.69714,12.2142769,1946.76,216.78,15,6,4,13.9101257,0,0,0,0,0,15.4878787994385,77.6369934082031,262.887298583984,-31.3019595852052,145.308088878464,262.887791758403,"AM1_MT_Grenfell_1","0153"
"AM1_MT_Grenfell_1.0975",1926.01196,26.6166985,1919.78,38.05,27,0,4,11.855011,0,0,0,0,0,-4.50727272033691,-66.4348678588867,265.844055175781,-31.3032589429952,145.307878857789,265.844404132105,"AM1_MT_Grenfell_1","0975"
"AM1_MT_Grenfell_1.0290",1698.24353,40.636915,1729.78,72.46,39,2,4,13.047821,0,0,0,0,0,-61.4532928466797,-10.703784942627,263.532562255859,-31.3027563131578,145.307280717759,263.532867043279,"AM1_MT_Grenfell_1","0290"
