fid,OBJECTID,PCTID,PCTName,vegForm,vegClass,form_PCT,labels,Shape_Length,Shape_Area
1,785258,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,1120917.45806511,104341209.280909
3,6505254,106,White Cypress Pine - Mulga low woodland on siliceous rocky ranges mainly of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) White Cypress Pine - Mulga low woodland on siliceous rocky ranges mainly of the Cobar Peneplain Bioregion,PCT : 106,371.683692456501,5436.01273931717
4,6505258,106,White Cypress Pine - Mulga low woodland on siliceous rocky ranges mainly of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) White Cypress Pine - Mulga low woodland on siliceous rocky ranges mainly of the Cobar Peneplain Bioregion,PCT : 106,184.249723949834,1979.7271251032
5,6505261,106,White Cypress Pine - Mulga low woodland on siliceous rocky ranges mainly of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) White Cypress Pine - Mulga low woodland on siliceous rocky ranges mainly of the Cobar Peneplain Bioregion,PCT : 106,490.100665887633,8651.94827640522
6,6505299,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,1762.12763769268,38039.3787847901
7,6505310,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,769.004126667787,11130.3860085752
9,6505329,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,862.572201189751,14195.1723809939
10,6505339,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,261.655061525662,3883.96336725103
11,6505340,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,388.603704366064,8823.04212174437
12,6505344,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,1198.35943299019,26514.4729467665
13,6505347,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,1390.55333804878,38403.7253306143
14,6505348,108,Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Gum Coolabah - Mulga open woodland on gravel ridges of the Cobar Peneplain Bioregion,PCT : 108,309.402980785832,5934.59090168409
15,6505368,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,212.690973815128,2470.0522058556
16,6505371,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,574.018631835322,12758.6831297637
17,6505372,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,357.284484333734,4547.44699838865
18,6505374,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,7155.65279183969,203986.485692727
19,6505376,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,262.962737777615,3123.12540899118
20,6505378,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,275.565137645295,2848.97866733244
22,6505382,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,954.169340545922,16275.6028941591
23,6505392,125,Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,Arid Shrublands (Acacia sub-formation),North-west Plain Shrublands,(Arid Shrublands (Acacia sub-formation)) Mulga - Ironwood shrubland on loams and clays mainly of the Cobar Peneplain Bioregion,PCT : 125,98961.1181381354,5769794.637285
25,6505398,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,383.743778202965,4057.35502125271
26,6505400,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,461.597782677594,7723.73046773498
27,6505411,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,168.349179989325,1522.62263421475
28,6505412,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,441.898127619059,7385.11530048239
29,6505415,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,150.331335866604,1488.63801619478
30,6505422,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,580.798030258826,15471.0609576196
31,6505426,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,1272.75103314049,22004.7889477209
32,6505428,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,264.198500392019,2297.62063837846
33,6505432,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,235.600154245006,2481.9617758859
34,6505434,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,239.173700112081,3518.13788803159
35,6505435,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,528.507974121476,10262.0875389382
36,6505440,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,310.151440107314,4744.35206915899
37,6505443,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,415.58977955306,5322.67433671102
39,6505451,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,548.661680370328,9695.00752240003
40,6505456,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,152.262444871174,1273.57378404936
41,6505458,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,823.953785730802,21397.1451745493
42,6505460,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,446.157924405978,6709.87813070215
43,6505461,218,Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Inland Rocky Hill Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Grey Mallee - Mulga shrubland of the north-western Cobar Peneplain Bioregion,PCT : 218,135.835221972719,1296.81135257324
46,6505488,103,Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,PCT : 103,194.762425596086,1579.24506814178
47,6505489,103,Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,PCT : 103,955.321046244641,29587.7755367314
48,6505490,103,Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,PCT : 103,1804.52426552169,47915.8233776222
49,6505491,103,Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,Semi-arid Woodlands (Shrubby sub-formation),Western Peneplain Woodlands,(Semi-arid Woodlands (Shrubby sub-formation)) Poplar Box - Gum Coolabah - White Cypress Pine shrubby woodland mainly in the Cobar Peneplain Bioregion,PCT : 103,158.062012439543,1224.46461765201
