ID,Volume (L),DBH (cm),vol_opt_mean,Volume Standard Deviation (L),dbhqsm_mean (cm),DBH Standard Deviation (cm),Number of Models,Height (m),Surface Area (m^2),PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing Time,X,Y,Z,Lat,Long,Elevation
AM2_Mt_Grenfell_NP_3.1152,706.583252,34.8935783,726.88,37.13,28.999999999999996,12.0,4,9.6819458,0.0,0.0,0.0,0.0,0.0,-44.75198745727539,-40.33772659301758,242.14633178710938,-31.325815853523142,145.33268589515825,242.1466167010367
AM2_Mt_Grenfell_NP_3.0811,464.314148,17.233634000000002,462.24,38.95,12.0,7.000000000000001,4,5.89567566,0.0,0.0,0.0,0.0,0.0,20.766868591308594,-67.68283081054688,242.75143432617188,-31.326062474581754,145.3333742519151,242.75182864349335
AM2_Mt_Grenfell_NP_3.0715,376.67984,16.4991245,374.68,38.93,15.0,2.0,4,4.01269531,0.0,0.0,0.0,0.0,0.0,15.334712982177734,-57.73617935180664,242.3456268310547,-31.325972767697735,145.33331718014986,242.34590760525316
AM2_Mt_Grenfell_NP_3.0621,374.781738,14.5658597,381.21,11.93,19.0,3.0,4,5.76469421,0.0,0.0,0.0,0.0,0.0,63.8089485168457,-82.71375274658203,242.06588745117188,-31.326198034187314,145.3338264640999,242.0667447913438
AM2_Mt_Grenfell_NP_3.0575,323.136353,19.557488,332.06,17.79,27.0,5.0,4,10.1692505,0.0,0.0,0.0,0.0,0.0,-81.26396942138672,-63.818992614746094,243.91958618164062,-31.32602762458362,145.33230229018292,243.9204239360988
AM2_Mt_Grenfell_NP_3.0577,320.701416,24.3077025,324.7,62.4,17.0,5.0,4,5.97998047,0.0,0.0,0.0,0.0,0.0,-22.894617080688477,-107.65266418457031,245.79164123535156,-31.32642295456597,145.332915532325,245.79259439464658
AM2_Mt_Grenfell_NP_3.1587,267.108917,11.566338700000001,290.35,69.08,12.0,1.0,4,3.67941284,0.0,0.0,0.0,0.0,0.0,6.250048637390137,-115.76810455322266,245.16754150390625,-31.326496146485958,145.33322173475045,245.16859937366098
AM2_Mt_Grenfell_NP_3.0966,257.714203,14.8511827,210.77,110.44,13.0,6.0,4,5.72370911,0.0,0.0,0.0,0.0,0.0,20.185314178466797,-45.92695236206055,242.1195831298828,-31.32586626240571,145.33336814153614,242.11978105083108
AM2_Mt_Grenfell_NP_3.0197,253.469315,14.9648219,249.89,4.84,14.000000000000002,1.0,4,7.01620483,0.0,0.0,0.0,0.0,0.0,-47.286399841308594,-90.30335235595703,245.32302856445312,-31.32626648375282,145.33265926591812,245.3238454926759
AM2_Mt_Grenfell_NP_3.0446,251.475601,15.8476323,250.11,5.42,19.0,3.0,4,5.40426636,0.0,0.0,0.0,0.0,0.0,18.24262809753418,-19.585533142089844,241.92112731933594,-31.32562869404353,145.33334773074196,241.9211835730821
