plot_id,contains_callitris,PCTID,PCT_wd
AM1_MT_Grenfell_1,y,103,0.9302975
AM2_Mt_Grenfell_NP,y,103,0.9302975
AM1_MT_Grenfell_2,y,108,1.0055
AM2_Mt_Grenfell_NP_2,y,108,1.0055
AM1_MT_Grenfell_3,n,108,1.0055
AM1_MT_Grenfell_4,n,108,1.0055
AM2_Mt_Grenfell_NP_3,n,108,1.0055
AM1_MT_Grenfell_5,y,103,0.9302975
AM2_Mt_Grenfell_NP_4,n,108,1.0055
AM1_MT_Grenfell_6,n,103,0.9302975
AM2_Mt_Grenfell_NP_5,n,125,0.8752975
AM1_MT_Grenfell_7,y,103,0.9302975
AM2_Mt_Grenfell_NP_6,n,125,0.8752975
AM2_Mt_Grenfell_NP_7,y,103,0.9302975
