id,left,top,right,bottom,CNN_10m_0mean
"450817",16174594.9785,-3673744.1298,16174604.9785,-3673754.1298,0.671059355139732
"450818",16174594.9785,-3673754.1298,16174604.9785,-3673764.1298,0.655995988845825
"451939",16174604.9785,-3673744.1298,16174614.9785,-3673754.1298,0.712925946712494
"451940",16174604.9785,-3673754.1298,16174614.9785,-3673764.1298,0.754854809641838
"451941",16174604.9785,-3673764.1298,16174614.9785,-3673774.1298,0.884783912556512
"451942",16174604.9785,-3673774.1298,16174614.9785,-3673784.1298,0.916389817541296
"451943",16174604.9785,-3673784.1298,16174614.9785,-3673794.1298,0.985577205046434
"453061",16174614.9785,-3673744.1298,16174624.9785,-3673754.1298,0.750102549791336
"453062",16174614.9785,-3673754.1298,16174624.9785,-3673764.1298,0.825990387201309
"453063",16174614.9785,-3673764.1298,16174624.9785,-3673774.1298,0.948206270337105
"453064",16174614.9785,-3673774.1298,16174624.9785,-3673784.1298,0.990692988038063
"453065",16174614.9785,-3673784.1298,16174624.9785,-3673794.1298,0.951990587370736
"453066",16174614.9785,-3673794.1298,16174624.9785,-3673804.1298,0.988478634506464
"454183",16174624.9785,-3673744.1298,16174634.9785,-3673754.1298,1.03877168297768
"454184",16174624.9785,-3673754.1298,16174634.9785,-3673764.1298,1.00019123256207
"454185",16174624.9785,-3673764.1298,16174634.9785,-3673774.1298,0.905141177773476
"454186",16174624.9785,-3673774.1298,16174634.9785,-3673784.1298,0.913252695798874
"454187",16174624.9785,-3673784.1298,16174634.9785,-3673794.1298,1.02673576831818
"454188",16174624.9785,-3673794.1298,16174634.9785,-3673804.1298,1.11552070487629
"454189",16174624.9785,-3673804.1298,16174634.9785,-3673814.1298,0.847919637130366
"454190",16174624.9785,-3673814.1298,16174634.9785,-3673824.1298,0.499773605089439
"454191",16174624.9785,-3673824.1298,16174634.9785,-3673834.1298,0.270927889006478
"455305",16174634.9785,-3673744.1298,16174644.9785,-3673754.1298,1.49421867132187
"455306",16174634.9785,-3673754.1298,16174644.9785,-3673764.1298,1.28501307606697
