fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_0mean
38252,38252,338113.875535156,6534235.8492533,338143.875535156,6534205.8492533,255,118,0.740256544748942
38253,38253,338113.875535156,6534205.8492533,338143.875535156,6534175.8492533,256,118,0.904617842790243
38574,38574,338143.875535156,6534235.8492533,338173.875535156,6534205.8492533,255,119,1.16433143823866
38575,38575,338143.875535156,6534205.8492533,338173.875535156,6534175.8492533,256,119,0.902070590275147
38576,38576,338143.875535156,6534175.8492533,338173.875535156,6534145.8492533,257,119,0.676384696958999
38577,38577,338143.875535156,6534145.8492533,338173.875535156,6534115.8492533,258,119,0.431281244382262
38896,38896,338173.875535156,6534235.8492533,338203.875535156,6534205.8492533,255,120,0.362711370807216
38897,38897,338173.875535156,6534205.8492533,338203.875535156,6534175.8492533,256,120,0.824653395389718
38898,38898,338173.875535156,6534175.8492533,338203.875535156,6534145.8492533,257,120,0.895700076713453
38899,38899,338173.875535156,6534145.8492533,338203.875535156,6534115.8492533,258,120,0.948549482181812
38900,38900,338173.875535156,6534115.8492533,338203.875535156,6534085.8492533,259,120,0.585375318290494
38901,38901,338173.875535156,6534085.8492533,338203.875535156,6534055.8492533,260,120,1.42508212112366
38902,38902,338173.875535156,6534055.8492533,338203.875535156,6534025.8492533,261,120,2.51697106508431
38903,38903,338173.875535156,6534025.8492533,338203.875535156,6533995.8492533,262,120,3.46582806023209
38904,38904,338173.875535156,6533995.8492533,338203.875535156,6533965.8492533,263,120,4.03476929260513
39218,39218,338203.875535156,6534235.8492533,338233.875535156,6534205.8492533,255,121,0.551989180001591
39219,39219,338203.875535156,6534205.8492533,338233.875535156,6534175.8492533,256,121,1.41038551012468
39220,39220,338203.875535156,6534175.8492533,338233.875535156,6534145.8492533,257,121,1.06841578680983
39221,39221,338203.875535156,6534145.8492533,338233.875535156,6534115.8492533,258,121,0.642001295076406
39222,39222,338203.875535156,6534115.8492533,338233.875535156,6534085.8492533,259,121,3.38151337379746
39223,39223,338203.875535156,6534085.8492533,338233.875535156,6534055.8492533,260,121,2.95069254257245
39224,39224,338203.875535156,6534055.8492533,338233.875535156,6534025.8492533,261,121,3.95468937948526
39225,39225,338203.875535156,6534025.8492533,338233.875535156,6533995.8492533,262,121,4.94271441712671
39226,39226,338203.875535156,6533995.8492533,338233.875535156,6533965.8492533,263,121,1.44529678050848
39227,39227,338203.875535156,6533965.8492533,338233.875535156,6533935.8492533,264,121,0.380242284666113
39228,39228,338203.875535156,6533935.8492533,338233.875535156,6533905.8492533,265,121,0.281926143288472
39229,39229,338203.875535156,6533905.8492533,338233.875535156,6533875.8492533,266,121,0.626332328662159
39230,39230,338203.875535156,6533875.8492533,338233.875535156,6533845.8492533,267,121,0.525784709529898
39231,39231,338203.875535156,6533845.8492533,338233.875535156,6533815.8492533,268,121,1.55126921308693
39232,39232,338203.875535156,6533815.8492533,338233.875535156,6533785.8492533,269,121,2.90739865518279
39233,39233,338203.875535156,6533785.8492533,338233.875535156,6533755.8492533,270,121,1.7734204165943
39234,39234,338203.875535156,6533755.8492533,338233.875535156,6533725.8492533,271,121,1.54909604754152
39235,39235,338203.875535156,6533725.8492533,338233.875535156,6533695.8492533,272,121,0.760779898143509
39236,39236,338203.875535156,6533695.8492533,338233.875535156,6533665.8492533,273,121,1.18525202252156
39237,39237,338203.875535156,6533665.8492533,338233.875535156,6533635.8492533,274,121,2.95480431671215
39238,39238,338203.875535156,6533635.8492533,338233.875535156,6533605.8492533,275,121,1.43344097308691
39251,39251,338203.875535156,6533245.8492533,338233.875535156,6533215.8492533,288,121,4.87322783470154
44065,44065,338653.875535156,6533725.8492533,338683.875535156,6533695.8492533,272,136,3.59911118536564
