fid,id,left,top,right,bottom,ALS_20m_1mean
"117178","117178",16174744.9785,-3674584.1298,16174764.9785,-3674604.1298,4.26611511168941
"117177","117177",16174744.9785,-3674564.1298,16174764.9785,-3674584.1298,3.44551397252128
"117176","117176",16174744.9785,-3674544.1298,16174764.9785,-3674564.1298,3.35202482172862
"117175","117175",16174744.9785,-3674524.1298,16174764.9785,-3674544.1298,2.79403184519874
"117174","117174",16174744.9785,-3674504.1298,16174764.9785,-3674524.1298,2.7089183586279
"117173","117173",16174744.9785,-3674484.1298,16174764.9785,-3674504.1298,3.94640236333255
"117172","117172",16174744.9785,-3674464.1298,16174764.9785,-3674484.1298,5.06749648128796
"117171","117171",16174744.9785,-3674444.1298,16174764.9785,-3674464.1298,4.65307814626612
"117170","117170",16174744.9785,-3674424.1298,16174764.9785,-3674444.1298,4.21074617104452
"117169","117169",16174744.9785,-3674404.1298,16174764.9785,-3674424.1298,4.20260294359973
"117168","117168",16174744.9785,-3674384.1298,16174764.9785,-3674404.1298,2.68801278493565
"117167","117167",16174744.9785,-3674364.1298,16174764.9785,-3674384.1298,2.22479872170114
"117166","117166",16174744.9785,-3674344.1298,16174764.9785,-3674364.1298,2.45543368822141
"117165","117165",16174744.9785,-3674324.1298,16174764.9785,-3674344.1298,3.28136692902981
"117164","117164",16174744.9785,-3674304.1298,16174764.9785,-3674324.1298,4.9237406667293
"117163","117163",16174744.9785,-3674284.1298,16174764.9785,-3674304.1298,4.29765357042764
"117162","117162",16174744.9785,-3674264.1298,16174764.9785,-3674284.1298,2.31010030776031
"117161","117161",16174744.9785,-3674244.1298,16174764.9785,-3674264.1298,1.62686573219014
"117160","117160",16174744.9785,-3674224.1298,16174764.9785,-3674244.1298,1.89593320296392
"117159","117159",16174744.9785,-3674204.1298,16174764.9785,-3674224.1298,3.04268508857673
"117158","117158",16174744.9785,-3674184.1298,16174764.9785,-3674204.1298,3.36212378709692
"117157","117157",16174744.9785,-3674164.1298,16174764.9785,-3674184.1298,1.64053783182642
"117156","117156",16174744.9785,-3674144.1298,16174764.9785,-3674164.1298,0.619719514026792
"117155","117155",16174744.9785,-3674124.1298,16174764.9785,-3674144.1298,0.181326992127768
"117154","117154",16174744.9785,-3674104.1298,16174764.9785,-3674124.1298,0.106618974045811
"117153","117153",16174744.9785,-3674084.1298,16174764.9785,-3674104.1298,0.100724254737229
"117152","117152",16174744.9785,-3674064.1298,16174764.9785,-3674084.1298,0.0389616820778156
"117151","117151",16174744.9785,-3674044.1298,16174764.9785,-3674064.1298,0.123396046464509
"117150","117150",16174744.9785,-3674024.1298,16174764.9785,-3674044.1298,0.124444021850544
"117149","117149",16174744.9785,-3674004.1298,16174764.9785,-3674024.1298,0.0666271250011805
"117148","117148",16174744.9785,-3673984.1298,16174764.9785,-3674004.1298,0.199709299179706
"117192","117192",16174744.9785,-3674864.1298,16174764.9785,-3674884.1298,4.95924443070607
"117193","117193",16174744.9785,-3674884.1298,16174764.9785,-3674904.1298,5.35986603974061
"117194","117194",16174744.9785,-3674904.1298,16174764.9785,-3674924.1298,4.04981323839965
"117195","117195",16174744.9785,-3674924.1298,16174764.9785,-3674944.1298,3.32417402285656
"117196","117196",16174744.9785,-3674944.1298,16174764.9785,-3674964.1298,3.51113674447343
"117136","117136",16174744.9785,-3673744.1298,16174764.9785,-3673764.1298,0.509416600755918
