fid,id,left,top,right,bottom,CNN_10m_1mean
"450818","450818",16174594.9785,-3673754.1298,16174604.9785,-3673764.1298,0.759683191776276
"450817","450817",16174594.9785,-3673744.1298,16174604.9785,-3673754.1298,0.807222440838814
"451943","451943",16174604.9785,-3673784.1298,16174614.9785,-3673794.1298,0.851857593484802
"451942","451942",16174604.9785,-3673774.1298,16174614.9785,-3673784.1298,0.846398280425505
"451941","451941",16174604.9785,-3673764.1298,16174614.9785,-3673774.1298,0.875939513104303
"451940","451940",16174604.9785,-3673754.1298,16174614.9785,-3673764.1298,0.7780178129673
"451939","451939",16174604.9785,-3673744.1298,16174614.9785,-3673754.1298,0.773862135410309
"453066","453066",16174614.9785,-3673794.1298,16174624.9785,-3673804.1298,0.994417902082205
"453065","453065",16174614.9785,-3673784.1298,16174624.9785,-3673794.1298,0.893321368524006
"453064","453064",16174614.9785,-3673774.1298,16174624.9785,-3673784.1298,0.866418809890747
"453063","453063",16174614.9785,-3673764.1298,16174624.9785,-3673774.1298,0.87722686290741
"453062","453062",16174614.9785,-3673754.1298,16174624.9785,-3673764.1298,0.837012497782707
"453061","453061",16174614.9785,-3673744.1298,16174624.9785,-3673754.1298,0.70254476070404
"454190","454190",16174624.9785,-3673814.1298,16174634.9785,-3673824.1298,0.562048398350414
"454189","454189",16174624.9785,-3673804.1298,16174634.9785,-3673814.1298,0.96632484263844
"454188","454188",16174624.9785,-3673794.1298,16174634.9785,-3673804.1298,1.13696566495028
"454187","454187",16174624.9785,-3673784.1298,16174634.9785,-3673794.1298,0.994622455835342
"454186","454186",16174624.9785,-3673774.1298,16174634.9785,-3673784.1298,0.830632357001305
"454185","454185",16174624.9785,-3673764.1298,16174634.9785,-3673774.1298,0.833621805906296
"454184","454184",16174624.9785,-3673754.1298,16174634.9785,-3673764.1298,0.945096764564514
"454183","454183",16174624.9785,-3673744.1298,16174634.9785,-3673754.1298,0.913725000619888
"454191","454191",16174624.9785,-3673824.1298,16174634.9785,-3673834.1298,0.272576510906219
"459821","459821",16174674.9785,-3674024.1298,16174684.9785,-3674034.1298,2.54733864466349
"459820","459820",16174674.9785,-3674014.1298,16174684.9785,-3674024.1298,3.76973983549303
"459819","459819",16174674.9785,-3674004.1298,16174684.9785,-3674014.1298,4.11413125615371
"459818","459818",16174674.9785,-3673994.1298,16174684.9785,-3674004.1298,3.73614021062851
"459817","459817",16174674.9785,-3673984.1298,16174684.9785,-3673994.1298,4.05128809213638
"459800","459800",16174674.9785,-3673814.1298,16174684.9785,-3673824.1298,1.15376652896404
"459799","459799",16174674.9785,-3673804.1298,16174684.9785,-3673814.1298,1.51495757341385
"459798","459798",16174674.9785,-3673794.1298,16174684.9785,-3673804.1298,1.49528977274895
"459797","459797",16174674.9785,-3673784.1298,16174684.9785,-3673794.1298,1.20455637574196
"459796","459796",16174674.9785,-3673774.1298,16174684.9785,-3673784.1298,0.788511358201504
"459795","459795",16174674.9785,-3673764.1298,16174684.9785,-3673774.1298,0.359989202767611
"459794","459794",16174674.9785,-3673754.1298,16174684.9785,-3673764.1298,0.160506152883172
"459793","459793",16174674.9785,-3673744.1298,16174684.9785,-3673754.1298,0.226035824418068
"459801","459801",16174674.9785,-3673824.1298,16174684.9785,-3673834.1298,0.530201448500156
"459802","459802",16174674.9785,-3673834.1298,16174684.9785,-3673844.1298,0.605398426651955
