fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"61766","61766",340303.875535156,6533995.8492533,340333.875535156,6533965.8492533,"263","191",1.15374710767165
"62088","62088",340333.875535156,6533995.8492533,340363.875535156,6533965.8492533,"263","192",1.16690961120388
"62089","62089",340333.875535156,6533965.8492533,340363.875535156,6533935.8492533,"264","192",1.47074900504976
"62410","62410",340363.875535156,6533995.8492533,340393.875535156,6533965.8492533,"263","193",1.67092280298131
"62411","62411",340363.875535156,6533965.8492533,340393.875535156,6533935.8492533,"264","193",1.48066959351593
"62412","62412",340363.875535156,6533935.8492533,340393.875535156,6533905.8492533,"265","193",0.731456323281715
"62732","62732",340393.875535156,6533995.8492533,340423.875535156,6533965.8492533,"263","194",1.22925341689225
"62733","62733",340393.875535156,6533965.8492533,340423.875535156,6533935.8492533,"264","194",0.86722633909848
"62734","62734",340393.875535156,6533935.8492533,340423.875535156,6533905.8492533,"265","194",0.558719512164703
"62735","62735",340393.875535156,6533905.8492533,340423.875535156,6533875.8492533,"266","194",0.721940239231417
"63054","63054",340423.875535156,6533995.8492533,340453.875535156,6533965.8492533,"263","195",1.5514044257461
"63055","63055",340423.875535156,6533965.8492533,340453.875535156,6533935.8492533,"264","195",1.79872200301952
"63056","63056",340423.875535156,6533935.8492533,340453.875535156,6533905.8492533,"265","195",1.46545294013288
"63057","63057",340423.875535156,6533905.8492533,340453.875535156,6533875.8492533,"266","195",2.05670768490294
"63058","63058",340423.875535156,6533875.8492533,340453.875535156,6533845.8492533,"267","195",2.17224984513036
"63059","63059",340423.875535156,6533845.8492533,340453.875535156,6533815.8492533,"268","195",4.14435053197858
"63376","63376",340453.875535156,6533995.8492533,340483.875535156,6533965.8492533,"263","196",3.10172104006745
"63377","63377",340453.875535156,6533965.8492533,340483.875535156,6533935.8492533,"264","196",3.44571521649758
"63378","63378",340453.875535156,6533935.8492533,340483.875535156,6533905.8492533,"265","196",2.57917871208655
"63379","63379",340453.875535156,6533905.8492533,340483.875535156,6533875.8492533,"266","196",1.45167061630223
"63380","63380",340453.875535156,6533875.8492533,340483.875535156,6533845.8492533,"267","196",1.3271150578724
"63381","63381",340453.875535156,6533845.8492533,340483.875535156,6533815.8492533,"268","196",3.2622608327674
"63382","63382",340453.875535156,6533815.8492533,340483.875535156,6533785.8492533,"269","196",3.58759563940543
"63698","63698",340483.875535156,6533995.8492533,340513.875535156,6533965.8492533,"263","197",3.57820104148592
"63699","63699",340483.875535156,6533965.8492533,340513.875535156,6533935.8492533,"264","197",3.04535113549895
"63700","63700",340483.875535156,6533935.8492533,340513.875535156,6533905.8492533,"265","197",2.00365220121211
"63701","63701",340483.875535156,6533905.8492533,340513.875535156,6533875.8492533,"266","197",1.53440279497041
"63702","63702",340483.875535156,6533875.8492533,340513.875535156,6533845.8492533,"267","197",2.586461488737
"63703","63703",340483.875535156,6533845.8492533,340513.875535156,6533815.8492533,"268","197",2.56710976282756
"63704","63704",340483.875535156,6533815.8492533,340513.875535156,6533785.8492533,"269","197",2.63482877009782
"64020","64020",340513.875535156,6533995.8492533,340543.875535156,6533965.8492533,"263","198",2.82917256979457
"64021","64021",340513.875535156,6533965.8492533,340543.875535156,6533935.8492533,"264","198",3.44717057175106
"64022","64022",340513.875535156,6533935.8492533,340543.875535156,6533905.8492533,"265","198",1.96083403189977
"64023","64023",340513.875535156,6533905.8492533,340543.875535156,6533875.8492533,"266","198",1.61359036409193
"64024","64024",340513.875535156,6533875.8492533,340543.875535156,6533845.8492533,"267","198",1.56804694477055
"64025","64025",340513.875535156,6533845.8492533,340543.875535156,6533815.8492533,"268","198",1.88392247488101
"64026","64026",340513.875535156,6533815.8492533,340543.875535156,6533785.8492533,"269","198",2.61776471682897
"64027","64027",340513.875535156,6533785.8492533,340543.875535156,6533755.8492533,"270","198",4.08678579683439
"64028","64028",340513.875535156,6533755.8492533,340543.875535156,6533725.8492533,"271","198",3.42737098715522
"64341","64341",340543.875535156,6534025.8492533,340573.875535156,6533995.8492533,"262","199",1.68784989278868
"64342","64342",340543.875535156,6533995.8492533,340573.875535156,6533965.8492533,"263","199",2.09985246887266
"64343","64343",340543.875535156,6533965.8492533,340573.875535156,6533935.8492533,"264","199",3.35090781781409
"64344","64344",340543.875535156,6533935.8492533,340573.875535156,6533905.8492533,"265","199",2.28938515835338
