fid,id,left,top,right,bottom,ALS_10m_0mean
"1","450817",16174594.9785,-3673744.1298,16174604.9785,-3673754.1298,0.309366181492805
"2","450818",16174594.9785,-3673754.1298,16174604.9785,-3673764.1298,0.332618711516261
"3","451939",16174604.9785,-3673744.1298,16174614.9785,-3673754.1298,0.380496353938662
"4","451940",16174604.9785,-3673754.1298,16174614.9785,-3673764.1298,0.430858293483997
"5","451941",16174604.9785,-3673764.1298,16174614.9785,-3673774.1298,0.526215452754326
"6","451942",16174604.9785,-3673774.1298,16174614.9785,-3673784.1298,0.606976351267855
"7","451943",16174604.9785,-3673784.1298,16174614.9785,-3673794.1298,0.626250565052032
"8","453061",16174614.9785,-3673744.1298,16174624.9785,-3673754.1298,0.478958249092102
"9","453062",16174614.9785,-3673754.1298,16174624.9785,-3673764.1298,0.514821364083505
"10","453063",16174614.9785,-3673764.1298,16174624.9785,-3673774.1298,0.580328295181367
"11","453064",16174614.9785,-3673774.1298,16174624.9785,-3673784.1298,0.620863051229232
"12","453065",16174614.9785,-3673784.1298,16174624.9785,-3673794.1298,0.646331588699393
"13","453066",16174614.9785,-3673794.1298,16174624.9785,-3673804.1298,0.69870740512632
"14","454183",16174624.9785,-3673744.1298,16174634.9785,-3673754.1298,0.749136537313461
"15","454184",16174624.9785,-3673754.1298,16174634.9785,-3673764.1298,0.697875535405631
"16","454185",16174624.9785,-3673764.1298,16174634.9785,-3673774.1298,0.593823600431968
"17","454186",16174624.9785,-3673774.1298,16174634.9785,-3673784.1298,0.561342481637405
"18","454187",16174624.9785,-3673784.1298,16174634.9785,-3673794.1298,0.709001698708452
"19","454188",16174624.9785,-3673794.1298,16174634.9785,-3673804.1298,0.815573190355135
"20","454189",16174624.9785,-3673804.1298,16174634.9785,-3673814.1298,0.643165367699805
"21","454190",16174624.9785,-3673814.1298,16174634.9785,-3673824.1298,0.376060332830359
"22","454191",16174624.9785,-3673824.1298,16174634.9785,-3673834.1298,0.211018353127516
"23","455305",16174634.9785,-3673744.1298,16174644.9785,-3673754.1298,1.20208233770202
"24","455306",16174634.9785,-3673754.1298,16174644.9785,-3673764.1298,1.08332114236165
"25","455307",16174634.9785,-3673764.1298,16174644.9785,-3673774.1298,0.669326366206347
"26","455308",16174634.9785,-3673774.1298,16174644.9785,-3673784.1298,0.489282192449669
"27","455309",16174634.9785,-3673784.1298,16174644.9785,-3673794.1298,0.710664686240952
"28","455310",16174634.9785,-3673794.1298,16174644.9785,-3673804.1298,0.838042326245753
"29","455311",16174634.9785,-3673804.1298,16174644.9785,-3673814.1298,0.625723879885029
"30","455312",16174634.9785,-3673814.1298,16174644.9785,-3673824.1298,0.350864174766112
"31","455313",16174634.9785,-3673824.1298,16174644.9785,-3673834.1298,0.235554186809332
"32","455314",16174634.9785,-3673834.1298,16174644.9785,-3673844.1298,0.278574103789945
"33","456427",16174644.9785,-3673744.1298,16174654.9785,-3673754.1298,1.424368422765
"34","456428",16174644.9785,-3673754.1298,16174654.9785,-3673764.1298,1.23298037154921
"35","456429",16174644.9785,-3673764.1298,16174654.9785,-3673774.1298,0.672766793619942
"36","456430",16174644.9785,-3673774.1298,16174654.9785,-3673784.1298,0.417149568426198
"37","456431",16174644.9785,-3673784.1298,16174654.9785,-3673794.1298,0.618159128628236
"38","456432",16174644.9785,-3673794.1298,16174654.9785,-3673804.1298,0.702155615543497
