id,left,top,right,bottom,ALS_20m_0mean
"112648",16174584.9785,-3673744.1298,16174604.9785,-3673764.1298,0.32796820551157
"113209",16174604.9785,-3673744.1298,16174624.9785,-3673764.1298,0.468654342126846
"113210",16174604.9785,-3673764.1298,16174624.9785,-3673784.1298,0.583311781545595
"113211",16174604.9785,-3673784.1298,16174624.9785,-3673804.1298,0.656426230629722
"113770",16174624.9785,-3673744.1298,16174644.9785,-3673764.1298,0.902878750162789
"113771",16174624.9785,-3673764.1298,16174644.9785,-3673784.1298,0.578835507148958
"113772",16174624.9785,-3673784.1298,16174644.9785,-3673804.1298,0.768238581600801
"113773",16174624.9785,-3673804.1298,16174644.9785,-3673824.1298,0.509732203821861
"113774",16174624.9785,-3673824.1298,16174644.9785,-3673844.1298,0.237708012662805
"114331",16174644.9785,-3673744.1298,16174664.9785,-3673764.1298,0.9981401471138
"114332",16174644.9785,-3673764.1298,16174664.9785,-3673784.1298,0.452169796847419
"114333",16174644.9785,-3673784.1298,16174664.9785,-3673804.1298,0.640699600354796
"114334",16174644.9785,-3673804.1298,16174664.9785,-3673824.1298,0.498506498756687
"114335",16174644.9785,-3673824.1298,16174664.9785,-3673844.1298,0.395722700887256
"114336",16174644.9785,-3673844.1298,16174664.9785,-3673864.1298,0.603198509702284
"114337",16174644.9785,-3673864.1298,16174664.9785,-3673884.1298,0.653203153775798
"114342",16174644.9785,-3673964.1298,16174664.9785,-3673984.1298,0.972379775150963
"114892",16174664.9785,-3673744.1298,16174684.9785,-3673764.1298,0.162806584540019
"114893",16174664.9785,-3673764.1298,16174684.9785,-3673784.1298,0.317475203695388
"114894",16174664.9785,-3673784.1298,16174684.9785,-3673804.1298,1.04334503705426
"114895",16174664.9785,-3673804.1298,16174684.9785,-3673824.1298,1.00023069150204
"114896",16174664.9785,-3673824.1298,16174684.9785,-3673844.1298,0.39694212681723
"114897",16174664.9785,-3673844.1298,16174684.9785,-3673864.1298,0.911194023608543
"114898",16174664.9785,-3673864.1298,16174684.9785,-3673884.1298,0.592325571867343
"114899",16174664.9785,-3673884.1298,16174684.9785,-3673904.1298,0.307486511547776
"114900",16174664.9785,-3673904.1298,16174684.9785,-3673924.1298,0.81977438531964
"114901",16174664.9785,-3673924.1298,16174684.9785,-3673944.1298,2.04163881865415
"114902",16174664.9785,-3673944.1298,16174684.9785,-3673964.1298,2.03076784222828
"114903",16174664.9785,-3673964.1298,16174684.9785,-3673984.1298,3.101858262516
"114904",16174664.9785,-3673984.1298,16174684.9785,-3674004.1298,3.49520812978866
"114905",16174664.9785,-3674004.1298,16174684.9785,-3674024.1298,3.61563732823351
"114906",16174664.9785,-3674024.1298,16174684.9785,-3674044.1298,2.24205595917172
"115453",16174684.9785,-3673744.1298,16174704.9785,-3673764.1298,0.21231834086531
"115454",16174684.9785,-3673764.1298,16174704.9785,-3673784.1298,0.869306214526939
"115455",16174684.9785,-3673784.1298,16174704.9785,-3673804.1298,1.68518611898186
"115456",16174684.9785,-3673804.1298,16174704.9785,-3673824.1298,1.1381118619514
"115457",16174684.9785,-3673824.1298,16174704.9785,-3673844.1298,0.425864990246602
"115458",16174684.9785,-3673844.1298,16174704.9785,-3673864.1298,0.350400515624601
"115459",16174684.9785,-3673864.1298,16174704.9785,-3673884.1298,0.931302573962812
"115460",16174684.9785,-3673884.1298,16174704.9785,-3673904.1298,1.89890441617978
"115461",16174684.9785,-3673904.1298,16174704.9785,-3673924.1298,1.96921031114262
"115462",16174684.9785,-3673924.1298,16174704.9785,-3673944.1298,3.577338961784
"115463",16174684.9785,-3673944.1298,16174704.9785,-3673964.1298,4.65821635394261
"115464",16174684.9785,-3673964.1298,16174704.9785,-3673984.1298,5.74453895418053
"115465",16174684.9785,-3673984.1298,16174704.9785,-3674004.1298,5.29134323928148
"115466",16174684.9785,-3674004.1298,16174704.9785,-3674024.1298,3.00066007131185
"115467",16174684.9785,-3674024.1298,16174704.9785,-3674044.1298,0.954067663632114
"115468",16174684.9785,-3674044.1298,16174704.9785,-3674064.1298,0.257981598268233
"115469",16174684.9785,-3674064.1298,16174704.9785,-3674084.1298,0.354165116713978
"115470",16174684.9785,-3674084.1298,16174704.9785,-3674104.1298,0.155506827658223
"115471",16174684.9785,-3674104.1298,16174704.9785,-3674124.1298,0.199305718437957
"115472",16174684.9785,-3674124.1298,16174704.9785,-3674144.1298,0.362959559684918
"115474",16174684.9785,-3674164.1298,16174704.9785,-3674184.1298,0.360508429316374
"115475",16174684.9785,-3674184.1298,16174704.9785,-3674204.1298,0.696746568188413
"115476",16174684.9785,-3674204.1298,16174704.9785,-3674224.1298,1.47293162575135
"115477",16174684.9785,-3674224.1298,16174704.9785,-3674244.1298,2.66049233116681
"115478",16174684.9785,-3674244.1298,16174704.9785,-3674264.1298,4.17429268360138
"115483",16174684.9785,-3674344.1298,16174704.9785,-3674364.1298,0.89055323600769
"115484",16174684.9785,-3674364.1298,16174704.9785,-3674384.1298,0.754402354861913
"115485",16174684.9785,-3674384.1298,16174704.9785,-3674404.1298,1.39989943149862
"115486",16174684.9785,-3674404.1298,16174704.9785,-3674424.1298,4.11486159155379
"115487",16174684.9785,-3674424.1298,16174704.9785,-3674444.1298,2.88298314223758
"115488",16174684.9785,-3674444.1298,16174704.9785,-3674464.1298,1.11861205101013
"115511",16174684.9785,-3674904.1298,16174704.9785,-3674924.1298,
"116014",16174704.9785,-3673744.1298,16174724.9785,-3673764.1298,0.72868943172507
"116015",16174704.9785,-3673764.1298,16174724.9785,-3673784.1298,0.940432138568638
"116016",16174704.9785,-3673784.1298,16174724.9785,-3673804.1298,1.00856434517219
