id,left,top,right,bottom,CNN_20m_0mean
"112648",16174584.9785,-3673744.1298,16174604.9785,-3673764.1298,0.65850654989481
"113209",16174604.9785,-3673744.1298,16174624.9785,-3673764.1298,0.785067293860696
"113210",16174604.9785,-3673764.1298,16174624.9785,-3673784.1298,0.945155396241031
"113211",16174604.9785,-3673784.1298,16174624.9785,-3673804.1298,0.958779061256453
"113770",16174624.9785,-3673744.1298,16174644.9785,-3673764.1298,1.15386515639045
"113771",16174624.9785,-3673764.1298,16174644.9785,-3673784.1298,0.838853568136692
"113772",16174624.9785,-3673784.1298,16174644.9785,-3673804.1298,1.0671663602492
"113773",16174624.9785,-3673804.1298,16174644.9785,-3673824.1298,0.678425569015164
"113774",16174624.9785,-3673824.1298,16174644.9785,-3673844.1298,0.295845150947571
"114331",16174644.9785,-3673744.1298,16174664.9785,-3673764.1298,0.992412518100305
"114332",16174644.9785,-3673764.1298,16174664.9785,-3673784.1298,0.608856425061822
"114333",16174644.9785,-3673784.1298,16174664.9785,-3673804.1298,0.911602483689785
"114334",16174644.9785,-3673804.1298,16174664.9785,-3673824.1298,0.56251023940742
"114335",16174644.9785,-3673824.1298,16174664.9785,-3673844.1298,0.524180114578891
"114336",16174644.9785,-3673844.1298,16174664.9785,-3673864.1298,0.763191262776939
"114337",16174644.9785,-3673864.1298,16174664.9785,-3673884.1298,0.94349292630241
"114342",16174644.9785,-3673964.1298,16174664.9785,-3673984.1298,1.14592454240129
"114892",16174664.9785,-3673744.1298,16174684.9785,-3673764.1298,0.190169841931625
"114893",16174664.9785,-3673764.1298,16174684.9785,-3673784.1298,0.502335669249296
"114894",16174664.9785,-3673784.1298,16174684.9785,-3673804.1298,1.42461281433702
"114895",16174664.9785,-3673804.1298,16174684.9785,-3673824.1298,1.07023686662316
"114896",16174664.9785,-3673824.1298,16174684.9785,-3673844.1298,0.531361147537827
"114897",16174664.9785,-3673844.1298,16174684.9785,-3673864.1298,1.33176963180304
"114898",16174664.9785,-3673864.1298,16174684.9785,-3673884.1298,0.845007988532384
"114899",16174664.9785,-3673884.1298,16174684.9785,-3673904.1298,0.401823683061462
"114900",16174664.9785,-3673904.1298,16174684.9785,-3673924.1298,0.984794394767031
"114901",16174664.9785,-3673924.1298,16174684.9785,-3673944.1298,2.13611658573151
"114902",16174664.9785,-3673944.1298,16174684.9785,-3673964.1298,2.20235872842411
"114903",16174664.9785,-3673964.1298,16174684.9785,-3673984.1298,3.11491843154936
"114904",16174664.9785,-3673984.1298,16174684.9785,-3674004.1298,3.52157391618182
"114905",16174664.9785,-3674004.1298,16174684.9785,-3674024.1298,4.17966466083705
"114906",16174664.9785,-3674024.1298,16174684.9785,-3674044.1298,2.65626549720764
"115453",16174684.9785,-3673744.1298,16174704.9785,-3673764.1298,0.268333624709736
"115454",16174684.9785,-3673764.1298,16174704.9785,-3673784.1298,1.16622950732708
"115455",16174684.9785,-3673784.1298,16174704.9785,-3673804.1298,2.08630358964205
"115456",16174684.9785,-3673804.1298,16174704.9785,-3673824.1298,1.32226686701179
"115457",16174684.9785,-3673824.1298,16174704.9785,-3673844.1298,0.537117503806949
"115458",16174684.9785,-3673844.1298,16174704.9785,-3673864.1298,0.545274346861988
"115459",16174684.9785,-3673864.1298,16174704.9785,-3673884.1298,1.01241638571024
"115460",16174684.9785,-3673884.1298,16174704.9785,-3673904.1298,2.0002286914736
"115461",16174684.9785,-3673904.1298,16174704.9785,-3673924.1298,2.16595605552197
"115462",16174684.9785,-3673924.1298,16174704.9785,-3673944.1298,3.53728730261326
"115463",16174684.9785,-3673944.1298,16174704.9785,-3673964.1298,4.33887483239174
"115464",16174684.9785,-3673964.1298,16174704.9785,-3673984.1298,5.1458292299509
"115465",16174684.9785,-3673984.1298,16174704.9785,-3674004.1298,5.02519061207771
"115466",16174684.9785,-3674004.1298,16174704.9785,-3674024.1298,3.44269710600376
"115467",16174684.9785,-3674024.1298,16174704.9785,-3674044.1298,1.10602676395016
"115468",16174684.9785,-3674044.1298,16174704.9785,-3674064.1298,0.526383747779406
"115469",16174684.9785,-3674064.1298,16174704.9785,-3674084.1298,0.459321551393193
"115470",16174684.9785,-3674084.1298,16174704.9785,-3674104.1298,0.236532980324449
"115471",16174684.9785,-3674104.1298,16174704.9785,-3674124.1298,0.275887555724022
"115472",16174684.9785,-3674124.1298,16174704.9785,-3674144.1298,0.523939513911804
"115474",16174684.9785,-3674164.1298,16174704.9785,-3674184.1298,0.432496493061384
"115475",16174684.9785,-3674184.1298,16174704.9785,-3674204.1298,1.07674669571545
"115476",16174684.9785,-3674204.1298,16174704.9785,-3674224.1298,2.06416120876869
"115477",16174684.9785,-3674224.1298,16174704.9785,-3674244.1298,3.22963811733105
"115478",16174684.9785,-3674244.1298,16174704.9785,-3674264.1298,4.13361835479736
"115483",16174684.9785,-3674344.1298,16174704.9785,-3674364.1298,0.776315479901905
"115484",16174684.9785,-3674364.1298,16174704.9785,-3674384.1298,0.915014692994415
"115485",16174684.9785,-3674384.1298,16174704.9785,-3674404.1298,1.5839412889537
"115486",16174684.9785,-3674404.1298,16174704.9785,-3674424.1298,3.94574556290539
"115487",16174684.9785,-3674424.1298,16174704.9785,-3674444.1298,2.86959851143965
"115488",16174684.9785,-3674444.1298,16174704.9785,-3674464.1298,1.26476729433723
"115511",16174684.9785,-3674904.1298,16174704.9785,-3674924.1298,4.89346182261103
"116014",16174704.9785,-3673744.1298,16174724.9785,-3673764.1298,0.798108468949795
"116015",16174704.9785,-3673764.1298,16174724.9785,-3673784.1298,1.20097488448024
"116016",16174704.9785,-3673784.1298,16174724.9785,-3673804.1298,1.28527795702219
"116017",16174704.9785,-3673804.1298,16174724.9785,-3673824.1298,0.952574122101069
"116018",16174704.9785,-3673824.1298,16174724.9785,-3673844.1298,0.59851889885962
"116019",16174704.9785,-3673844.1298,16174724.9785,-3673864.1298,0.702583739832044
"116020",16174704.9785,-3673864.1298,16174724.9785,-3673884.1298,3.56809658229351
"116021",16174704.9785,-3673884.1298,16174724.9785,-3673904.1298,6.06674772262573
"116022",16174704.9785,-3673904.1298,16174724.9785,-3673924.1298,3.77115408837795
"116023",16174704.9785,-3673924.1298,16174724.9785,-3673944.1298,2.47628350973129
"116024",16174704.9785,-3673944.1298,16174724.9785,-3673964.1298,2.74742360502481
"116025",16174704.9785,-3673964.1298,16174724.9785,-3673984.1298,4.69507373034954
"116026",16174704.9785,-3673984.1298,16174724.9785,-3674004.1298,4.86566853612661
"116027",16174704.9785,-3674004.1298,16174724.9785,-3674024.1298,1.47769834414124
"116028",16174704.9785,-3674024.1298,16174724.9785,-3674044.1298,0.354391133729368
"116029",16174704.9785,-3674044.1298,16174724.9785,-3674064.1298,0.193961365036666
"116030",16174704.9785,-3674064.1298,16174724.9785,-3674084.1298,0.21542382709682
"116031",16174704.9785,-3674084.1298,16174724.9785,-3674104.1298,0.299789603129029
"116032",16174704.9785,-3674104.1298,16174724.9785,-3674124.1298,0.372214948385954
"116033",16174704.9785,-3674124.1298,16174724.9785,-3674144.1298,0.62060965763198
"116034",16174704.9785,-3674144.1298,16174724.9785,-3674164.1298,0.642070262071987
"116035",16174704.9785,-3674164.1298,16174724.9785,-3674184.1298,0.465845279172063
"116036",16174704.9785,-3674184.1298,16174724.9785,-3674204.1298,1.03325186982751
"116037",16174704.9785,-3674204.1298,16174724.9785,-3674224.1298,1.87294140145183
"116038",16174704.9785,-3674224.1298,16174724.9785,-3674244.1298,2.13956822678447
"116039",16174704.9785,-3674244.1298,16174724.9785,-3674264.1298,2.45471235597977
"116040",16174704.9785,-3674264.1298,16174724.9785,-3674284.1298,1.42485602212415
"116041",16174704.9785,-3674284.1298,16174724.9785,-3674304.1298,1.58353321677373
"116042",16174704.9785,-3674304.1298,16174724.9785,-3674324.1298,1.67121693253102
"116043",16174704.9785,-3674324.1298,16174724.9785,-3674344.1298,1.08700129150474
"116044",16174704.9785,-3674344.1298,16174724.9785,-3674364.1298,1.27653813496821
"116045",16174704.9785,-3674364.1298,16174724.9785,-3674384.1298,1.68718318760395
"116046",16174704.9785,-3674384.1298,16174724.9785,-3674404.1298,1.43618575304747
"116047",16174704.9785,-3674404.1298,16174724.9785,-3674424.1298,1.62647515073419
"116048",16174704.9785,-3674424.1298,16174724.9785,-3674444.1298,1.58619852900505
"116049",16174704.9785,-3674444.1298,16174724.9785,-3674464.1298,1.84332784640528
"116050",16174704.9785,-3674464.1298,16174724.9785,-3674484.1298,1.87000282823223
"116051",16174704.9785,-3674484.1298,16174724.9785,-3674504.1298,2.13017375333346
"116071",16174704.9785,-3674884.1298,16174724.9785,-3674904.1298,4.44306772564529
"116072",16174704.9785,-3674904.1298,16174724.9785,-3674924.1298,4.63255800780665
"116073",16174704.9785,-3674924.1298,16174724.9785,-3674944.1298,4.09952227274577
"116575",16174724.9785,-3673744.1298,16174744.9785,-3673764.1298,1.22407402450388
"116576",16174724.9785,-3673764.1298,16174744.9785,-3673784.1298,1.61241468191147
"116577",16174724.9785,-3673784.1298,16174744.9785,-3673804.1298,1.91943485796452
"116578",16174724.9785,-3673804.1298,16174744.9785,-3673824.1298,1.63498230367899
"116579",16174724.9785,-3673824.1298,16174744.9785,-3673844.1298,0.731295557208359
"116580",16174724.9785,-3673844.1298,16174744.9785,-3673864.1298,0.444984190706164
"116581",16174724.9785,-3673864.1298,16174744.9785,-3673884.1298,2.98477480322123
"116582",16174724.9785,-3673884.1298,16174744.9785,-3673904.1298,6.09019058465958
"116583",16174724.9785,-3673904.1298,16174744.9785,-3673924.1298,3.74064848154783
"116584",16174724.9785,-3673924.1298,16174744.9785,-3673944.1298,1.36402559563518
"116585",16174724.9785,-3673944.1298,16174744.9785,-3673964.1298,0.436486411988735
"116586",16174724.9785,-3673964.1298,16174744.9785,-3673984.1298,2.30420190475881
"116587",16174724.9785,-3673984.1298,16174744.9785,-3674004.1298,2.27953068971634
"116588",16174724.9785,-3674004.1298,16174744.9785,-3674024.1298,0.509600105881691
"116589",16174724.9785,-3674024.1298,16174744.9785,-3674044.1298,0.140376535700634
"116590",16174724.9785,-3674044.1298,16174744.9785,-3674064.1298,0.0886032665148377
"116591",16174724.9785,-3674064.1298,16174744.9785,-3674084.1298,0.0993699899222702
"116592",16174724.9785,-3674084.1298,16174744.9785,-3674104.1298,0.263860358707607
"116593",16174724.9785,-3674104.1298,16174744.9785,-3674124.1298,0.336127092242241
"116594",16174724.9785,-3674124.1298,16174744.9785,-3674144.1298,0.37906355869025
"116595",16174724.9785,-3674144.1298,16174744.9785,-3674164.1298,0.360494497418404
"116596",16174724.9785,-3674164.1298,16174744.9785,-3674184.1298,0.698712795674801
"116597",16174724.9785,-3674184.1298,16174744.9785,-3674204.1298,1.05279513925314
"116598",16174724.9785,-3674204.1298,16174744.9785,-3674224.1298,0.864634718745947
"116599",16174724.9785,-3674224.1298,16174744.9785,-3674244.1298,0.617285553142428
"116600",16174724.9785,-3674244.1298,16174744.9785,-3674264.1298,1.29263912498951
"116601",16174724.9785,-3674264.1298,16174744.9785,-3674284.1298,1.9765166965127
"116602",16174724.9785,-3674284.1298,16174744.9785,-3674304.1298,1.71372669741511
"116603",16174724.9785,-3674304.1298,16174744.9785,-3674324.1298,4.0390960291028
"116604",16174724.9785,-3674324.1298,16174744.9785,-3674344.1298,3.32136634349823
"116605",16174724.9785,-3674344.1298,16174744.9785,-3674364.1298,3.23571840673685
"116606",16174724.9785,-3674364.1298,16174744.9785,-3674384.1298,2.93574876189232
"116607",16174724.9785,-3674384.1298,16174744.9785,-3674404.1298,1.44492432251573
"116608",16174724.9785,-3674404.1298,16174744.9785,-3674424.1298,1.91200932756066
"116609",16174724.9785,-3674424.1298,16174744.9785,-3674444.1298,3.62417854040861
"116610",16174724.9785,-3674444.1298,16174744.9785,-3674464.1298,3.2781323453784
"116611",16174724.9785,-3674464.1298,16174744.9785,-3674484.1298,2.55991859316826
"116612",16174724.9785,-3674484.1298,16174744.9785,-3674504.1298,3.39122967747836
"116613",16174724.9785,-3674504.1298,16174744.9785,-3674524.1298,4.36683615632013
"116614",16174724.9785,-3674524.1298,16174744.9785,-3674544.1298,4.45239957816461
"116615",16174724.9785,-3674544.1298,16174744.9785,-3674564.1298,5.38374444058067
"116616",16174724.9785,-3674564.1298,16174744.9785,-3674584.1298,4.81864579518636
"116631",16174724.9785,-3674864.1298,16174744.9785,-3674884.1298,4.74906080183776
"116632",16174724.9785,-3674884.1298,16174744.9785,-3674904.1298,4.57328007119225
"116633",16174724.9785,-3674904.1298,16174744.9785,-3674924.1298,4.35508881926537
"116634",16174724.9785,-3674924.1298,16174744.9785,-3674944.1298,3.70195562174531
"117136",16174744.9785,-3673744.1298,16174764.9785,-3673764.1298,0.486700754138556
"117137",16174744.9785,-3673764.1298,16174764.9785,-3673784.1298,0.857696824893355
"117138",16174744.9785,-3673784.1298,16174764.9785,-3673804.1298,1.51726915240288
"117139",16174744.9785,-3673804.1298,16174764.9785,-3673824.1298,1.43746517151594
"117140",16174744.9785,-3673824.1298,16174764.9785,-3673844.1298,0.477843424901366
"117141",16174744.9785,-3673844.1298,16174764.9785,-3673864.1298,0.213648364264518
"117142",16174744.9785,-3673864.1298,16174764.9785,-3673884.1298,2.41218750596046
"117143",16174744.9785,-3673884.1298,16174764.9785,-3673904.1298,5.91187926590443
"117144",16174744.9785,-3673904.1298,16174764.9785,-3673924.1298,2.61534869730473
"117145",16174744.9785,-3673924.1298,16174764.9785,-3673944.1298,0.718894357793033
"117146",16174744.9785,-3673944.1298,16174764.9785,-3673964.1298,0.25176690062508
"117147",16174744.9785,-3673964.1298,16174764.9785,-3673984.1298,0.224644113490358
"117148",16174744.9785,-3673984.1298,16174764.9785,-3674004.1298,0.151377589723561
"117149",16174744.9785,-3674004.1298,16174764.9785,-3674024.1298,0.119588153283112
"117150",16174744.9785,-3674024.1298,16174764.9785,-3674044.1298,0.184278084430844
"117151",16174744.9785,-3674044.1298,16174764.9785,-3674064.1298,0.138803363386542
"117152",16174744.9785,-3674064.1298,16174764.9785,-3674084.1298,0.0678147608181462
"117153",16174744.9785,-3674084.1298,16174764.9785,-3674104.1298,0.193363878391683
"117154",16174744.9785,-3674104.1298,16174764.9785,-3674124.1298,0.3485179489851
"117155",16174744.9785,-3674124.1298,16174764.9785,-3674144.1298,0.525003188401461
"117156",16174744.9785,-3674144.1298,16174764.9785,-3674164.1298,0.873042234629393
"117157",16174744.9785,-3674164.1298,16174764.9785,-3674184.1298,2.07475905478001
"117158",16174744.9785,-3674184.1298,16174764.9785,-3674204.1298,3.78857633113861
"117159",16174744.9785,-3674204.1298,16174764.9785,-3674224.1298,3.07431570246816
"117160",16174744.9785,-3674224.1298,16174764.9785,-3674244.1298,1.85423354521394
"117161",16174744.9785,-3674244.1298,16174764.9785,-3674264.1298,1.64654468297958
"117162",16174744.9785,-3674264.1298,16174764.9785,-3674284.1298,2.4982714766264
"117163",16174744.9785,-3674284.1298,16174764.9785,-3674304.1298,3.98605002164841
"117164",16174744.9785,-3674304.1298,16174764.9785,-3674324.1298,5.0584731811285
"117165",16174744.9785,-3674324.1298,16174764.9785,-3674344.1298,3.8281070882082
"117166",16174744.9785,-3674344.1298,16174764.9785,-3674364.1298,2.66607027798891
"117167",16174744.9785,-3674364.1298,16174764.9785,-3674384.1298,2.18441451132298
"117168",16174744.9785,-3674384.1298,16174764.9785,-3674404.1298,2.14517466396093
"117169",16174744.9785,-3674404.1298,16174764.9785,-3674424.1298,3.93060821890831
"117170",16174744.9785,-3674424.1298,16174764.9785,-3674444.1298,4.54950842738152
"117171",16174744.9785,-3674444.1298,16174764.9785,-3674464.1298,4.82822255671024
"117172",16174744.9785,-3674464.1298,16174764.9785,-3674484.1298,5.29798477351665
"117173",16174744.9785,-3674484.1298,16174764.9785,-3674504.1298,4.4128152602911
"117174",16174744.9785,-3674504.1298,16174764.9785,-3674524.1298,3.13115937173367
"117175",16174744.9785,-3674524.1298,16174764.9785,-3674544.1298,3.34841012537479
"117176",16174744.9785,-3674544.1298,16174764.9785,-3674564.1298,3.92194516539574
"117177",16174744.9785,-3674564.1298,16174764.9785,-3674584.1298,3.93953617774056
"117178",16174744.9785,-3674584.1298,16174764.9785,-3674604.1298,4.31640875630262
"117192",16174744.9785,-3674864.1298,16174764.9785,-3674884.1298,5.0185475222027
"117193",16174744.9785,-3674884.1298,16174764.9785,-3674904.1298,5.54028781414032
"117194",16174744.9785,-3674904.1298,16174764.9785,-3674924.1298,4.37379166603088
"117195",16174744.9785,-3674924.1298,16174764.9785,-3674944.1298,4.05574914406269
"117196",16174744.9785,-3674944.1298,16174764.9785,-3674964.1298,4.04520711898804
"117697",16174764.9785,-3673744.1298,16174784.9785,-3673764.1298,0.331826471808282
"117698",16174764.9785,-3673764.1298,16174784.9785,-3673784.1298,0.425313149392605
"117699",16174764.9785,-3673784.1298,16174784.9785,-3673804.1298,0.600120716243982
"117700",16174764.9785,-3673804.1298,16174784.9785,-3673824.1298,0.615563558414578
"117701",16174764.9785,-3673824.1298,16174784.9785,-3673844.1298,0.436740810349584
"117702",16174764.9785,-3673844.1298,16174784.9785,-3673864.1298,0.363578892275691
"117703",16174764.9785,-3673864.1298,16174784.9785,-3673884.1298,1.32561189621687
"117704",16174764.9785,-3673884.1298,16174784.9785,-3673904.1298,2.22509184107184
"117705",16174764.9785,-3673904.1298,16174784.9785,-3673924.1298,0.712174599692225
"117706",16174764.9785,-3673924.1298,16174784.9785,-3673944.1298,0.614333704933524
"117707",16174764.9785,-3673944.1298,16174784.9785,-3673964.1298,0.498828513361514
"117708",16174764.9785,-3673964.1298,16174784.9785,-3673984.1298,0.095881735063158
