fid,id,left,top,right,bottom,CNN_20m_1mean
"117178","117178",16174744.9785,-3674584.1298,16174764.9785,-3674604.1298,4.45447415840335
"117177","117177",16174744.9785,-3674564.1298,16174764.9785,-3674584.1298,4.37340860326297
"117176","117176",16174744.9785,-3674544.1298,16174764.9785,-3674564.1298,4.22956317126751
"117175","117175",16174744.9785,-3674524.1298,16174764.9785,-3674544.1298,3.27564850866795
"117174","117174",16174744.9785,-3674504.1298,16174764.9785,-3674524.1298,3.36094295680523
"117173","117173",16174744.9785,-3674484.1298,16174764.9785,-3674504.1298,4.30085415482521
"117172","117172",16174744.9785,-3674464.1298,16174764.9785,-3674484.1298,5.60011485219002
"117171","117171",16174744.9785,-3674444.1298,16174764.9785,-3674464.1298,5.02641476154327
"117170","117170",16174744.9785,-3674424.1298,16174764.9785,-3674444.1298,4.49155533790588
"117169","117169",16174744.9785,-3674404.1298,16174764.9785,-3674424.1298,3.94378229618072
"117168","117168",16174744.9785,-3674384.1298,16174764.9785,-3674404.1298,2.34336292982101
"117167","117167",16174744.9785,-3674364.1298,16174764.9785,-3674384.1298,2.24500814825296
"117166","117166",16174744.9785,-3674344.1298,16174764.9785,-3674364.1298,2.58732639610767
"117165","117165",16174744.9785,-3674324.1298,16174764.9785,-3674344.1298,3.92457123100758
"117164","117164",16174744.9785,-3674304.1298,16174764.9785,-3674324.1298,5.25005411505699
"117163","117163",16174744.9785,-3674284.1298,16174764.9785,-3674304.1298,4.12752963006496
"117162","117162",16174744.9785,-3674264.1298,16174764.9785,-3674284.1298,2.53390435814857
"117161","117161",16174744.9785,-3674244.1298,16174764.9785,-3674264.1298,1.77991709381342
"117160","117160",16174744.9785,-3674224.1298,16174764.9785,-3674244.1298,2.08045495599508
"117159","117159",16174744.9785,-3674204.1298,16174764.9785,-3674224.1298,3.26161334186792
"117158","117158",16174744.9785,-3674184.1298,16174764.9785,-3674204.1298,3.82292642712593
"117157","117157",16174744.9785,-3674164.1298,16174764.9785,-3674184.1298,1.99038572669029
"117156","117156",16174744.9785,-3674144.1298,16174764.9785,-3674164.1298,0.927299707233906
"117155","117155",16174744.9785,-3674124.1298,16174764.9785,-3674144.1298,0.624777761548758
"117154","117154",16174744.9785,-3674104.1298,16174764.9785,-3674124.1298,0.333124639317393
"117153","117153",16174744.9785,-3674084.1298,16174764.9785,-3674104.1298,0.158389751445502
"117152","117152",16174744.9785,-3674064.1298,16174764.9785,-3674084.1298,0.0606400100607425
"117151","117151",16174744.9785,-3674044.1298,16174764.9785,-3674064.1298,0.0802930147200823
"117150","117150",16174744.9785,-3674024.1298,16174764.9785,-3674044.1298,0.12157713691704
"117149","117149",16174744.9785,-3674004.1298,16174764.9785,-3674024.1298,0.108426913490985
"117148","117148",16174744.9785,-3673984.1298,16174764.9785,-3674004.1298,0.262127873585559
"117192","117192",16174744.9785,-3674864.1298,16174764.9785,-3674884.1298,5.20876676799687
"117193","117193",16174744.9785,-3674884.1298,16174764.9785,-3674904.1298,5.71024408102036
"117194","117194",16174744.9785,-3674904.1298,16174764.9785,-3674924.1298,4.36146820366383
"117195","117195",16174744.9785,-3674924.1298,16174764.9785,-3674944.1298,4.31609198376329
"117196","117196",16174744.9785,-3674944.1298,16174764.9785,-3674964.1298,4.49877142906189
"117136","117136",16174744.9785,-3673744.1298,16174764.9785,-3673764.1298,0.509503243999048
"117137","117137",16174744.9785,-3673764.1298,16174764.9785,-3673784.1298,0.880314840823412
"117138","117138",16174744.9785,-3673784.1298,16174764.9785,-3673804.1298,1.47646795928478
"117139","117139",16174744.9785,-3673804.1298,16174764.9785,-3673824.1298,1.43505639314651
"117140","117140",16174744.9785,-3673824.1298,16174764.9785,-3673844.1298,0.400158095136285
"117141","117141",16174744.9785,-3673844.1298,16174764.9785,-3673864.1298,0.12793205535505
"117142","117142",16174744.9785,-3673864.1298,16174764.9785,-3673884.1298,2.22818666122854
"117143","117143",16174744.9785,-3673884.1298,16174764.9785,-3673904.1298,5.69170028686523
"117144","117144",16174744.9785,-3673904.1298,16174764.9785,-3673924.1298,2.43439382888377
"117145","117145",16174744.9785,-3673924.1298,16174764.9785,-3673944.1298,0.689858476147056
