fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_51mean
"61766","61766",340303.875535156,6533995.8492533,340333.875535156,6533965.8492533,"263","191",1.4378418396501
"62088","62088",340333.875535156,6533995.8492533,340363.875535156,6533965.8492533,"263","192",1.32595011859524
"62089","62089",340333.875535156,6533965.8492533,340363.875535156,6533935.8492533,"264","192",1.71451728085154
"62410","62410",340363.875535156,6533995.8492533,340393.875535156,6533965.8492533,"263","193",1.88819758215552
"62411","62411",340363.875535156,6533965.8492533,340393.875535156,6533935.8492533,"264","193",1.86497600225091
"62412","62412",340363.875535156,6533935.8492533,340393.875535156,6533905.8492533,"265","193",1.26536897135278
"62732","62732",340393.875535156,6533995.8492533,340423.875535156,6533965.8492533,"263","194",1.40925508716975
"62733","62733",340393.875535156,6533965.8492533,340423.875535156,6533935.8492533,"264","194",1.1667286359526
"62734","62734",340393.875535156,6533935.8492533,340423.875535156,6533905.8492533,"265","194",0.736851278648087
"62735","62735",340393.875535156,6533905.8492533,340423.875535156,6533875.8492533,"266","194",0.627709941773475
"63054","63054",340423.875535156,6533995.8492533,340453.875535156,6533965.8492533,"263","195",1.50119661986571
"63055","63055",340423.875535156,6533965.8492533,340453.875535156,6533935.8492533,"264","195",1.83608931326924
"63056","63056",340423.875535156,6533935.8492533,340453.875535156,6533905.8492533,"265","195",1.33780833853594
"63057","63057",340423.875535156,6533905.8492533,340453.875535156,6533875.8492533,"266","195",2.09380849050421
"63058","63058",340423.875535156,6533875.8492533,340453.875535156,6533845.8492533,"267","195",2.80036448718796
"63059","63059",340423.875535156,6533845.8492533,340453.875535156,6533815.8492533,"268","195",5.26765500196078
"63376","63376",340453.875535156,6533995.8492533,340483.875535156,6533965.8492533,"263","196",2.82612823598525
"63377","63377",340453.875535156,6533965.8492533,340483.875535156,6533935.8492533,"264","196",3.68570172709241
"63378","63378",340453.875535156,6533935.8492533,340483.875535156,6533905.8492533,"265","196",2.69057265069191
"63379","63379",340453.875535156,6533905.8492533,340483.875535156,6533875.8492533,"266","196",1.78718318933478
"63380","63380",340453.875535156,6533875.8492533,340483.875535156,6533845.8492533,"267","196",1.42794821582753
"63381","63381",340453.875535156,6533845.8492533,340483.875535156,6533815.8492533,"268","196",3.1215220563833
"63382","63382",340453.875535156,6533815.8492533,340483.875535156,6533785.8492533,"269","196",3.94681175131547
"63698","63698",340483.875535156,6533995.8492533,340513.875535156,6533965.8492533,"263","197",3.59504286004067
"63699","63699",340483.875535156,6533965.8492533,340513.875535156,6533935.8492533,"264","197",3.30969026859225
"63700","63700",340483.875535156,6533935.8492533,340513.875535156,6533905.8492533,"265","197",2.10880345434312
"63701","63701",340483.875535156,6533905.8492533,340513.875535156,6533875.8492533,"266","197",1.36364458543706
"63702","63702",340483.875535156,6533875.8492533,340513.875535156,6533845.8492533,"267","197",2.80034340662478
"63703","63703",340483.875535156,6533845.8492533,340513.875535156,6533815.8492533,"268","197",2.25569451151368
"63704","63704",340483.875535156,6533815.8492533,340513.875535156,6533785.8492533,"269","197",2.65078111615761
"64020","64020",340513.875535156,6533995.8492533,340543.875535156,6533965.8492533,"263","198",2.71588091928132
"64021","64021",340513.875535156,6533965.8492533,340543.875535156,6533935.8492533,"264","198",3.69463584541209
"64022","64022",340513.875535156,6533935.8492533,340543.875535156,6533905.8492533,"265","198",2.16939308504569
"64023","64023",340513.875535156,6533905.8492533,340543.875535156,6533875.8492533,"266","198",1.67342931834551
"64024","64024",340513.875535156,6533875.8492533,340543.875535156,6533845.8492533,"267","198",1.65498701076616
"64025","64025",340513.875535156,6533845.8492533,340543.875535156,6533815.8492533,"268","198",1.63521208325409
"64026","64026",340513.875535156,6533815.8492533,340543.875535156,6533785.8492533,"269","198",2.64129751584469
"64027","64027",340513.875535156,6533785.8492533,340543.875535156,6533755.8492533,"270","198",4.87151144494067
"64028","64028",340513.875535156,6533755.8492533,340543.875535156,6533725.8492533,"271","198",3.42666081587474
"64341","64341",340543.875535156,6534025.8492533,340573.875535156,6533995.8492533,"262","199",1.96739380899277
"64342","64342",340543.875535156,6533995.8492533,340573.875535156,6533965.8492533,"263","199",1.96395436569639
"64343","64343",340543.875535156,6533965.8492533,340573.875535156,6533935.8492533,"264","199",3.30840105453045
"64344","64344",340543.875535156,6533935.8492533,340573.875535156,6533905.8492533,"265","199",2.36295293525952
"64345","64345",340543.875535156,6533905.8492533,340573.875535156,6533875.8492533,"266","199",1.75018485196716
"64346","64346",340543.875535156,6533875.8492533,340573.875535156,6533845.8492533,"267","199",2.27234767877286
"64347","64347",340543.875535156,6533845.8492533,340573.875535156,6533815.8492533,"268","199",2.23055009499682
"64348","64348",340543.875535156,6533815.8492533,340573.875535156,6533785.8492533,"269","199",2.68663151648299
"64349","64349",340543.875535156,6533785.8492533,340573.875535156,6533755.8492533,"270","199",3.3008003381575
"64350","64350",340543.875535156,6533755.8492533,340573.875535156,6533725.8492533,"271","199",1.7070050069264
"64351","64351",340543.875535156,6533725.8492533,340573.875535156,6533695.8492533,"272","199",0.8914772959421
"64352","64352",340543.875535156,6533695.8492533,340573.875535156,6533665.8492533,"273","199",0.445099323987961
"64663","64663",340573.875535156,6534025.8492533,340603.875535156,6533995.8492533,"262","200",1.13513275980949
"64664","64664",340573.875535156,6533995.8492533,340603.875535156,6533965.8492533,"263","200",1.88995818814319
"64665","64665",340573.875535156,6533965.8492533,340603.875535156,6533935.8492533,"264","200",3.04550281585861
"64666","64666",340573.875535156,6533935.8492533,340603.875535156,6533905.8492533,"265","200",2.40074222910126
"64667","64667",340573.875535156,6533905.8492533,340603.875535156,6533875.8492533,"266","200",1.93858281303293
"64668","64668",340573.875535156,6533875.8492533,340603.875535156,6533845.8492533,"267","200",2.40766794349279
"64669","64669",340573.875535156,6533845.8492533,340603.875535156,6533815.8492533,"268","200",2.35702721537514
"64670","64670",340573.875535156,6533815.8492533,340603.875535156,6533785.8492533,"269","200",2.0565244441735
"64671","64671",340573.875535156,6533785.8492533,340603.875535156,6533755.8492533,"270","200",2.19645137392367
"64672","64672",340573.875535156,6533755.8492533,340603.875535156,6533725.8492533,"271","200",2.14474013007417
"64673","64673",340573.875535156,6533725.8492533,340603.875535156,6533695.8492533,"272","200",0.938590603888131
"64674","64674",340573.875535156,6533695.8492533,340603.875535156,6533665.8492533,"273","200",0.692184411278627
"64985","64985",340603.875535156,6534025.8492533,340633.875535156,6533995.8492533,"262","201",0.808711696002218
"64986","64986",340603.875535156,6533995.8492533,340633.875535156,6533965.8492533,"263","201",0.729568315514674
"64987","64987",340603.875535156,6533965.8492533,340633.875535156,6533935.8492533,"264","201",0.921768570057868
"64988","64988",340603.875535156,6533935.8492533,340633.875535156,6533905.8492533,"265","201",1.27051231732318
"64989","64989",340603.875535156,6533905.8492533,340633.875535156,6533875.8492533,"266","201",2.43273501969505
"64990","64990",340603.875535156,6533875.8492533,340633.875535156,6533845.8492533,"267","201",2.21454217572032
"64991","64991",340603.875535156,6533845.8492533,340633.875535156,6533815.8492533,"268","201",2.90372290867672
"64992","64992",340603.875535156,6533815.8492533,340633.875535156,6533785.8492533,"269","201",2.39701639681446
"64993","64993",340603.875535156,6533785.8492533,340633.875535156,6533755.8492533,"270","201",3.01417805550069
"64994","64994",340603.875535156,6533755.8492533,340633.875535156,6533725.8492533,"271","201",2.12002771220088
"64995","64995",340603.875535156,6533725.8492533,340633.875535156,6533695.8492533,"272","201",1.66524727767112
"64996","64996",340603.875535156,6533695.8492533,340633.875535156,6533665.8492533,"273","201",2.85092516560128
